domain,size,share,conc,irr,beta_star,s,throughput,reach,switch,conc_proxy,is_extreme,behavior,share_proxy_norm,b,risk,selected,extreme_row
E,1.5657585836616355,0.0849168681459745,0.2745418653511056,0.3896904720310976,0.311214396651173,0.19546065810563001,1.381871102147381,0.6100245760438935,0.08600040982635773,0.20768991911396148,False,0.542252272845026,0.061006006281932416,0.33381611013128304,0.4726464684711233,True,False
E,1.015527419024732,0.234079455644599,0.2745418653511056,0.45460616733571824,0.33666713925623154,0.057546367163071266,0.7565925403436888,0.5123824767516983,0.13445032156230755,0.2980521453772791,False,0.31245288951958927,0.22145645917789172,0.35081159937367523,0.4777244773724778,False,False
E,1.1260669812261193,0.8985719248992045,0.2745418653511056,0.4978818964116414,0.336973675599407,0.23297697780360277,2.231729220877248,0.9999999987839936,0.6095938514207377,0.6570600089042593,False,0.32486720149290615,0.9362343362969712,0.8740566625757894,1.4523333827292881,False,False
E,1.948867599168525,0.7216056806218023,0.2745418653511056,0.7638859564689536,0.4869323982678023,0.45767818427020324,3.1888864409944793,0.5590358154634893,0.5909119479906495,0.5506365881345997,False,0.27865573304925906,0.7458761873954044,0.6092674442262087,0.8215200583000923,False,False
E,1.3971187938202023,0.18927735474450216,0.2745418653511056,0.550252744321812,0.4218359122121903,0.25627486401610944,0.6871966940720902,0.4863378210537962,0.6104076806024712,0.40692710531275217,False,0.3133165832928788,0.1732639633204617,0.41476822819160725,0.49205091577078,False,False
E,1.0911251631383654,0.4797576184664784,0.2745418653511056,0.623902424755781,0.4069197673913549,0.23691940560550384,1.4576477111850958,0.24637141427934267,0.4466462234425618,0.26255094254352884,False,0.48463768048060796,0.4857262948817091,0.338678285044045,0.46366098034608627,True,False
E,4.520890085428364,0.41777688269261715,0.2745418653511056,0.37145350041514813,0.5490505561983577,0.2838989830102225,3.966156402291656,0.5254533391210283,0.9320623828774943,0.7857385378834437,False,0.6869116092525926,0.4190551725010214,0.5988879338438589,0.8200488587336291,False,False
E,1.1654234810774131,0.1104908610998113,0.2745418653511056,0.1002351326724777,0.10911454676807802,0.47631368865066587,1.0649220298604427,0.08735845955088516,0.36025226513637987,0.2647617726981554,False,0.0,0.08851530885312188,0.15519223968635906,0.45185229823754824,False,False
S,1.10051658579082,0.7998355244882013,0.3145011955180104,0.885477310686081,0.6641473735514065,0.4197094796183092,1.1929883621708888,0.8338018140061234,0.6845280751218531,0.7569836399722542,False,0.7284411038230661,0.8300260676625301,0.7989440904825041,1.4079796487760066,False,False
S,1.5749161352846306,0.8065362489528005,0.3145011955180104,0.4297960270647614,0.3336348734243646,0.5132205191055066,0.9941933644238006,0.7836963193610381,0.84554771705402,0.9038951501124785,False,0.18177222048293631,0.837233868848507,0.8243882409995686,1.65546921245041,False,False
