,Oligopolistic,Intermediate,Fragmented
"Convergent: corr(b, beta*)","0.805 [0.687, 0.898]","0.814 [0.722, 0.874]","0.813 [0.759, 0.859]"
"Criterion: corr(b, behavior)","0.666 [0.520, 0.813]","0.650 [0.535, 0.758]","0.642 [0.562, 0.717]"
"Discriminant: corr(b, s)","0.027 [-0.318, 0.379]","-0.023 [-0.225, 0.185]","0.012 [-0.179, 0.181]"
"Internal ref: corr(b, share)","0.843 [0.758, 0.923]","0.846 [0.783, 0.899]","0.848 [0.804, 0.890]"
Discrimination AUC (optimum proximity),"0.823 [0.678, 0.959]","0.828 [0.697, 0.921]","0.831 [0.753, 0.891]"
Cliff's delta (isolated vs selected),"0.413 [0.060, 0.816]","0.429 [0.138, 0.641]","0.451 [0.256, 0.607]"
Silhouette (risk grouping),"0.149 [0.057, 0.289]","0.128 [0.065, 0.205]","0.117 [0.071, 0.174]"
Variance ratio (legacy),"0.572 [0.295, 1.057]","0.540 [0.339, 0.787]","0.517 [0.369, 0.702]"
Var(beta*) (structural),"0.052 [0.034, 0.081]","0.043 [0.031, 0.060]","0.038 [0.031, 0.048]"
Extreme-case isolation recall,"1.000 [1.000, 1.000]","1.000 [1.000, 1.000]","1.000 [1.000, 1.000]"
