scenario,metric,mean,ci_lo,ci_hi
oligopolistic,corr_b_beta,0.805420620969453,0.6866154102042127,0.8976022668425405
oligopolistic,corr_b_share,0.8425624886642242,0.757627585298538,0.923124375598891
oligopolistic,corr_b_s,0.027363332121678165,-0.31778622410183055,0.37925517258547803
oligopolistic,corr_b_behavior,0.6664954074353935,0.5203218543803936,0.8134293584137163
oligopolistic,auc,0.8227335640138407,0.6780276816608997,0.9586505190311417
oligopolistic,cliffs_delta,0.41278524874787387,0.05977122015915119,0.8163984674329494
oligopolistic,silhouette,0.14890675820583021,0.0574011648299119,0.2885382162438477
oligopolistic,variance_ratio,0.572087423200924,0.2949629239936566,1.056816849125377
oligopolistic,var_beta_star,0.05215695165147415,0.03352090968808466,0.08050879761600048
oligopolistic,extreme_isolated,1.0,1.0,1.0
fragmented,corr_b_beta,0.8134062530140835,0.758859962875947,0.8586342505620069
fragmented,corr_b_share,0.8482822184783729,0.8043530869361629,0.8900809603325205
fragmented,corr_b_s,0.011745268920070474,-0.17945019981989513,0.1807041105689391
fragmented,corr_b_behavior,0.6416763382742602,0.5623371990370297,0.7165672550613353
fragmented,auc,0.8312071992976294,0.7528094820017559,0.8907539508340648
fragmented,cliffs_delta,0.45053682517872184,0.2562436852740591,0.6072507051864849
fragmented,silhouette,0.11725782781164354,0.07064969089722584,0.17389038768555712
fragmented,variance_ratio,0.5172010981791072,0.3685425718422203,0.7017631953826137
fragmented,var_beta_star,0.03799976433051453,0.0308872044192279,0.04831203125856818
fragmented,extreme_isolated,1.0,1.0,1.0
intermediate,corr_b_beta,0.8140950609148966,0.722433967655577,0.8737877828682131
intermediate,corr_b_share,0.8462172713629219,0.7825348576720347,0.8991320126741886
intermediate,corr_b_s,-0.023004145583289046,-0.22538012781281497,0.18500680052400392
intermediate,corr_b_behavior,0.6498978842515183,0.5354158042375569,0.7582275429494951
intermediate,auc,0.8283491599707815,0.6965485756026296,0.9213659605551495
intermediate,cliffs_delta,0.42888608816648527,0.13756493506493508,0.6413978494623656
intermediate,silhouette,0.1279522043992166,0.0652524001683777,0.20535165795276947
intermediate,variance_ratio,0.5404038787658678,0.33914485643436193,0.7865565924169348
intermediate,var_beta_star,0.04291396298771543,0.03104662003159885,0.05953535475166193
intermediate,extreme_isolated,1.0,1.0,1.0
